CardID;CustID;CustID old;Title;Country;Address;Postal Code;City;Mail;BirthDate;noAd;Validity
67614288499;1626122028099;1641110800399;Comp.;United Kingdom;Postfach 469, 7505 Augue  St.;CW5B 9OO;Shrewsbury;felis.eget@molestiearcuSed.edu;23.02.1953;;28.07.2016
78317371799;1693101881899;1655102760699;Female;Germany;Postfach 489, 2887 Ante  Av.;42685;Hamburg;egestas.Sed.pharetra@quis.co.uk;24.05.1985;;08.02.2015
85862369199;1602113054599;1604032720099;Male;Germany;2351 Nec  Avenue;31718;Hamburg;vel.sapien.imperdiet@tinciduntaliquam.ca;24.01.1969;;11.06.2015
18746431499;1649111934199;1614072189499;Male;Germany;Ap #219-3764 Nec  Straße;99451;Bremerhaven;Lorem@nec.com;25.02.1948;;21.09.2013
77284476199;1620061171399;1670100162299;Female;United States;Postfach 336, 6336 Dui  Straße;34241;Lansing;Nulla@sapien.net;08.12.1997; X;10.11.2013
23738556699;1693060354799;1644080309199;Male;United States;594-3747 Facilisi.  Ave;61594;Chandler;nonummy.ipsum@congue.org;28.02.1949;;08.08.2014
80531226599;1675071007799;1663080579599;Female;United Kingdom;Ap #733-5112 Pretium  Ave;K0 8AG;Penrith;lectus.justo@velvenenatis.edu;07.11.1979;;28.12.2013
71548768099;1681110262999;1634091255199;Male;Germany;8269 Turpis  Straße;81834;Ravensburg;In.ornare.sagittis@per.co.uk;15.01.1955;;05.07.2013
58994904699;1615030107699;1620022863299;Male;Germany;408-6175 Dui.  St.;46085;Sangerhausen;Morbi@pedesagittisaugue.co.uk;21.08.1971;;17.04.2016
85567458499;1634022034099;1692052791099;Comp.;Germany;Ap #248-4982 Fames  Straße;16806;Ingelheim;a.neque.Nullam@acurna.ca;18.10.1958; X;01.10.2013
73276427999;1670030321199;1649090139799;Female;United Kingdom;3797 Molestie  Av.;GE08 6FV;Torquay;id.risus@ultrices.ca;22.01.1946;;26.01.2014
65664932099;1691111910899;1608100531899;Female;United States;Ap #374-7758 Tempor  Ave;41701;Carson City;luctus.lobortis@dictumultriciesligula.ca;15.01.1982;;17.08.2015
79838582699;1688022838499;1678031066499;Female;Germany;Postfach 854, 669 Fringilla  Rd.;61716;Itzehoe;nec.tempus@Suspendissenonleo.co.uk;15.03.1965;;29.07.2013
31274556699;1695121920899;1685042222699;Comp.;United Kingdom;9432 Nulla  Straße;FI2 8AJ;Elgin;varius@Suspendissealiquet.org;05.05.1949;;29.05.2015
71582711699;1647112960999;1645050467799;Female;Germany;Postfach 564, 5011 Vulputate  Ave;26631;Eisenhüttenstadt;nascetur@Integervitaenibh.net;29.12.1991;;05.02.2014
